model,Recall@5,Recall@10,Recall@50,NDCG@5,NDCG@10,NDCG@50,MRR@5,MRR@10,MRR@50
ENS_BPR__CTR_meta_only_wBorda_0.7_0.3,0.020767318334961034,0.0384377347729831,0.0384377347729831,0.013065811810439202,0.01891828976562262,0.018842628252663182,0.013517214397496086,0.01652926820180341,0.01652926820180341
ENS_BPR__CTR_meta_human_wBorda_0.7_0.3,0.02047545997230949,0.038399671910605934,0.038399671910605934,0.01300483961896304,0.019116800379897284,0.019079745570413236,0.014006259780907667,0.01742119382964453,0.01742119382964453
ENS_BPR__CTR_l_synth_dense_rrf_k30,0.02432791191594009,0.03832379577839178,0.03832379577839178,0.01668788708465274,0.021990291104528645,0.02195843528824547,0.016940532081377153,0.020497522170057382,0.020497522170057382
ENS_BPR__CTR_l_synth_dense_rrf_k120,0.022605074893807288,0.03832379577839178,0.03832379577839178,0.015988807030932986,0.022012246238768685,0.021980390422485507,0.016744913928012518,0.020664729115433343,0.020664729115433343
ENS_BPR__CTR_l_synth_dense_rrf_k60,0.022605074893807288,0.03832379577839178,0.03832379577839178,0.015988807030932986,0.022012246238768685,0.021980390422485507,0.016744913928012518,0.020664729115433343,0.020664729115433343
ENS_BPR__CTR_l_synth_dense_rrf_k90,0.022605074893807288,0.03832379577839178,0.03832379577839178,0.015988807030932986,0.022012246238768685,0.021980390422485507,0.016744913928012518,0.020664729115433343,0.020664729115433343
ENS_BPR__CTR_all_reviews_text_rrf_k120,0.023604590505998956,0.03831740442655936,0.03831740442655936,0.017695986908010525,0.02308971157810644,0.02308971157810644,0.01960093896713615,0.02323338177211417,0.02323338177211417
ENS_BPR__CTR_all_reviews_text_rrf_k60,0.023604590505998956,0.03831740442655936,0.03831740442655936,0.017558719907289008,0.022948850005641678,0.022948850005641678,0.01934663536776213,0.02299537968552053,0.02299537968552053
ENS_BPR__CTR_all_reviews_text_rrf_k90,0.023604590505998956,0.03831740442655936,0.03831740442655936,0.017695986908010525,0.023096021903843175,0.023096021903843175,0.01960093896713615,0.023261327222594826,0.023261327222594826
ENS_BPR__CTR_m_synth_dense_rrf_k10,0.02678059095312616,0.038193383676148676,0.038193383676148676,0.018361966550846816,0.022602903144289387,0.02253978879025219,0.019033646322378715,0.02189572620910649,0.02189572620910649
ENS_BPR__CTR_m_synth_dense_wBorda_0.3_0.7,0.030104744629392517,0.03804946460617328,0.03804946460617328,0.02592669878158665,0.028504984943107926,0.028431633786059483,0.03022300469483568,0.03244746255309636,0.03244746255309636
ENS_BPR__CTR_s_synth_aspect_rrf_k10,0.02421041177064157,0.03754068581255386,0.03754068581255386,0.018202673559721362,0.022824706977696688,0.02274757728153004,0.020442097026604066,0.022940420299575232,0.022940420299575232
ENS_BPR__CTR_all_reviews_text_rrf_k30,0.024387063119457486,0.03742873910127431,0.03742873910127431,0.017902567931203196,0.0227460518991263,0.0227460518991263,0.01946400625978091,0.022805816379760042,0.022805816379760042
ENS_BPR__CTR_m_synth_dense_borda,0.026663220061107388,0.037410911062690164,0.037410911062690164,0.0183624523243487,0.022144989232525992,0.022075162754213912,0.019679186228482002,0.02194649377747969,0.02194649377747969
ENS_BPR__CTR_m_synth_dense_wBorda_0.5_0.5,0.026663220061107388,0.037410911062690164,0.037410911062690164,0.0183624523243487,0.022144989232525992,0.022075162754213912,0.019679186228482002,0.02194649377747969,0.02194649377747969
ENS_BPR__CTR_l_synth_aspect_borda,0.027144684071111053,0.03737301310966989,0.03737301310966989,0.017671682433167808,0.021339571118773028,0.02123447261111937,0.018075117370892017,0.02019384827483419,0.02019384827483419
ENS_BPR__CTR_l_synth_aspect_wBorda_0.5_0.5,0.027144684071111053,0.03737301310966989,0.03737301310966989,0.017671682433167808,0.021339571118773028,0.02123447261111937,0.018075117370892017,0.02019384827483419,0.02019384827483419
ENS_BPR__CTR_s_synth_dense_rrf_k10,0.021696890094777415,0.03728795108057524,0.03728795108057524,0.017131453173505402,0.0226293461771053,0.022592776701893625,0.02032472613458529,0.023670728072136524,0.023670728072136524
ENS_BPR__CTR_s_synth_dense_rrf_k120,0.018981481481481485,0.03716499109846033,0.03716499109846033,0.01189205612581391,0.018637645619319052,0.018608276911706245,0.011932707355242569,0.016267512482301214,0.016267512482301214
ENS_BPR__CTR_s_synth_dense_rrf_k60,0.018981481481481485,0.03716499109846033,0.03716499109846033,0.012325237166222996,0.01907082665972814,0.019041457952115332,0.012519561815336465,0.016854366942395112,0.016854366942395112
ENS_BPR__CTR_s_synth_dense_rrf_k90,0.018981481481481485,0.03716499109846033,0.03716499109846033,0.01189205612581391,0.018637645619319052,0.018608276911706245,0.011932707355242569,0.016267512482301214,0.016267512482301214
ENS_BPR__CTR_s_synth_dense_rrf_k30,0.01797544526417766,0.036941427494615035,0.036941427494615035,0.012739552394930664,0.019992521270499542,0.01996315256288673,0.013321596244131453,0.018121693121693122,0.018121693121693122
ENS_BPR__CTR_l_synth_aspect_wBorda_0.7_0.3,0.01803755592210003,0.03648155323933678,0.03648155323933678,0.011714442944057515,0.017838904238445155,0.01776109418114301,0.012695618153364632,0.015634548028914227,0.015634548028914227
ENS_BPR__CTR_m_synth_aspect_wBorda_0.7_0.3,0.019202373108043975,0.036090316932607516,0.036090316932607516,0.012488689512689038,0.018307681793477082,0.01822605578840584,0.013673708920187792,0.016739790595424398,0.016739790595424398
ENS_BPR__CTR_all_reviews_text_rrf_k10,0.024876574260377076,0.03533126144782927,0.03533126144782927,0.019457743448887902,0.02286614067934018,0.022837461144942946,0.02249608763693271,0.02439870705715776,0.02439870705715776
ENS_BPR__CTR_s_synth_aspect_wBorda_0.7_0.3,0.019144195761134235,0.03515134979645728,0.03515134979645728,0.01230129740415141,0.01756084939987213,0.01748303934256998,0.013086854460093895,0.015551177434980253,0.015551177434980253
ENS_BPR__CTR_all_reviews_text_borda,0.02331162903346002,0.03469689972191826,0.03469689972191826,0.016829614722576876,0.020740786645319424,0.0207101390764938,0.019033646322378715,0.021361036589909833,0.021361036589909833
ENS_BPR__CTR_all_reviews_text_wBorda_0.5_0.5,0.02331162903346002,0.03469689972191826,0.03469689972191826,0.016829614722576876,0.020740786645319424,0.0207101390764938,0.019033646322378715,0.021361036589909833,0.021361036589909833
ENS_BPR__CTR_s_synth_dense_wBorda_0.7_0.3,0.021234221294451093,0.033848797641421804,0.033848797641421804,0.0131228224837329,0.017120085107539214,0.017075559325412323,0.013888888888888888,0.01592098889634101,0.01592098889634101
ENS_BPR__CTR_m_synth_dense_wBorda_0.7_0.3,0.02009074427069238,0.03365267138895753,0.03365267138895753,0.012971264234391438,0.01751720807034343,0.01748015326085938,0.013928012519561812,0.016172497950666963,0.016172497950666963
ENS_BPR__CTR_l_synth_dense_wBorda_0.7_0.3,0.020423295131412254,0.03307470866310747,0.03307470866310747,0.012981564991614526,0.01734809550195746,0.017305718264173275,0.014260563380281688,0.01642819882256502,0.01642819882256502
ENS_BPR__CTR_meta_only_wBorda_0.9_0.1,0.008985222249677401,0.031232889539968858,0.031232889539968858,0.0062157210473150135,0.01313358820114497,0.013065698165660871,0.007609546165884194,0.010845163574036814,0.010845163574036814
ENS_BPR__CTR_l_synth_dense_wBorda_0.9_0.1,0.008985222249677401,0.03088886633642008,0.03088886633642008,0.006188125093331326,0.013051602976870816,0.013014548167386768,0.007511737089201877,0.010995137491616366,0.010995137491616366
ENS_BPR__CTR_all_reviews_text_wBorda_0.7_0.3,0.0194582455748134,0.030692316668039427,0.030692316668039427,0.012569481926865664,0.0162094620132907,0.01617617773811545,0.013595461658841939,0.015538136224755944,0.015538136224755944
ENS_BPR__CTR_m_synth_dense_wBorda_0.9_0.1,0.008985222249677401,0.030556315475700205,0.030556315475700205,0.006239561420606973,0.012946660078835017,0.01290960526935097,0.007570422535211267,0.010789738430583501,0.010789738430583501
ENS_BPR__CTR_s_synth_dense_wBorda_0.9_0.1,0.008985222249677401,0.030134847272541863,0.030134847272541863,0.0062157210473150135,0.012767813552768053,0.012720475060353337,0.007609546165884194,0.010849821149116923,0.010849821149116923
ENS_BPR__CTR_m_synth_aspect_wBorda_0.9_0.1,0.008985222249677401,0.0296679443130518,0.0296679443130518,0.0062157210473150135,0.012695177423322804,0.012627287387838705,0.007609546165884194,0.010815820851032118,0.010815820851032118
ENS_BPR__CTR_s_synth_aspect_wBorda_0.9_0.1,0.008985222249677401,0.029609766966142058,0.029609766966142058,0.006267157374590661,0.012663495068364429,0.01259128584206147,0.007668231611893584,0.010786478128027424,0.010786478128027424
ENS_BPR__CTR_meta_human_wBorda_0.9_0.1,0.010158931169865194,0.029599649554245547,0.029599649554245547,0.006693614011257844,0.012747151543428538,0.01271009673394449,0.007805164319248826,0.010791135703107534,0.010791135703107534
ENS_BPR__CTR_all_reviews_text_wBorda_0.9_0.1,0.010158931169865194,0.027799962543290934,0.027799962543290934,0.006721209965241531,0.01225226087176693,0.012209241570171076,0.007902973395931143,0.01074921752738654,0.01074921752738654
ENS_BPR__CTR_l_synth_aspect_wBorda_0.9_0.1,0.008985222249677401,0.02726764405322597,0.02726764405322597,0.006188125093331326,0.011848689113668926,0.011807315113366015,0.007511737089201877,0.010382200611073852,0.010382200611073852
ENS_BPR__CDL_meta_only_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
ENS_BPR__CDL_all_reviews_text_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
ENS_BPR__CDL_meta_human_wBorda_0.9_0.1,0.007811513329489608,0.02049874784771004,0.02049874784771004,0.005710232129388496,0.009563807825029191,0.009520788523433337,0.007316118935837246,0.009208491690886058,0.009208491690886058
